Timestamp;Type;ID;Data
183fd3e0d7c;1;f02bfe;13ad04eefec
183fd3e0d7c;1;4f031fe;a9e867533e
183fd3e0d7c;1;4f032fe;1335d31dee2
183fd3e0d7c;1;8f02cfe;eb5c414d4a
183fd3e0d7c;1;8f02dfe;16a777bbd8e
183fd3e0d7c;1;8f062fe;1311c9545fc
183fd3e0d7c;1;8f110fe;d73e178932
183fd3e0d7c;1;8fe6efe;16a1449dd88
183fd3e0d7c;1;c00fefe;18dab69798a
183fd3e0d7c;1;c01fefe;1341b3ea534
183fd3e0d7d;1;c04fefe;1686ad89d8a
183fd3e0d7d;1;c08fefe;123e12a0c4e
183fd3e0d7d;1;c09fefe;109ebc6e752
183fd3e0d7d;1;c0afefe;d9f1ef0168
183fd3e0d7d;1;c0bfefe;15756f71582
183fd3e0d7d;1;c0dfefe;d190839068
183fd3e0d7d;1;c1bfefe;135547c721a
183fd3e0d7e;1;c1cfefe;f7f327735e
183fd3e0d7e;1;c1dfefe;129ecc66864
183fd3e0d7e;1;c1efefe;fa14ffd032
183fd3e0d7e;1;c99fefe;a913c2d7a2
183fd3e0d7e;1;cd1fefe;c698d3ea22
183fd3e0d7e;1;cd2fefe;bfaf1e662e
183fd3e0d7e;1;cf002fe;140dcb1ff70
183fd3e0d7e;1;cf003fe;13708e890f8
183fd3e0d7e;1;cf004fe;125c1242b08
183fd3e0d7e;1;cf00afe;1630d1ad9b8
183fd3e0d7e;1;cf00cfe;1539ee60a78
183fd3e0d7f;1;cf00dfe;d07c03533a
183fd3e0d7f;1;cf013fe;115d9ecb3bc
183fd3e0d7f;1;cf014fe;184d88e5ebc
183fd3e0d7f;1;cf015fe;f3ee543d14
183fd3e0d7f;1;cf016fe;1884be8b0b2
183fd3e0d7f;1;cf017fe;ec38ab77bc
183fd3e0d7f;1;cf018fe;8d51ac34b0
183fd3e0d7f;1;cf019fe;13f7e9ddcce
183fd3e0d7f;1;cf01cfe;134e3a893b2
183fd3e0d7f;1;cf01efe;13f01124884
183fd3e0d7f;1;cf023fe;1caf4babd36
183fd3e0d80;1;cf024fe;b3387d9a36
183fd3e0d80;1;cf025fe;1a6e0654384
183fd3e0d80;1;cf026fe;9d0fec7f58
183fd3e0d80;1;cf027fe;1d1b49ded72
183fd3e0d80;1;cf028fe;c40f0e6022
183fd3e0d80;1;cf029fe;f8f751cb02
183fd3e0d80;1;cf02afe;c6ae591db8
183fd3e0d80;1;cf02ffe;14dca0144a2
183fd3e0d80;1;cf030fe;12ebf50435c
183fd3e0d80;1;cf036fe;16b826f965c
183fd3e0d81;1;cf037fe;109414ccf3a
183fd3e0d81;1;cf038fe;a71a8efc94
183fd3e0d81;1;cf039fe;10fd85c1856
183fd3e0d81;1;cf03afe;11a071debe6
183fd3e0d81;1;cf03bfe;1816b7d7680
183fd3e0d81;1;cf03cfe;10b07f46e64
183fd3e0d81;1;cf03dfe;151292e803c
183fd3e0d81;1;cf03efe;fef900212c
183fd3e0d81;1;cf03ffe;9c8f37937e
183fd3e0d81;1;cf040fe;e18e6087f6
183fd3e0d81;1;cf041fe;c4346bce06
183fd3e0d82;1;cf042fe;10eb7614482
183fd3e0d82;1;cf043fe;15a98f0fad2
183fd3e0d82;1;cf044fe;12c469db00c
183fd3e0d82;1;cf045fe;ff55ea5282
183fd3e0d82;1;cf046fe;1a30d81789a
183fd3e0d82;1;cf047fe;d592e98324
183fd3e0d82;1;cf048fe;a4b3af65c0
183fd3e0d82;1;cf049fe;99ea710e42
183fd3e0d82;1;cf04afe;b97ddc0920
183fd3e0d82;1;cf04bfe;14ad6c0b0c0
183fd3e0d82;1;cf04cfe;10eecf812c0
183fd3e0d83;1;cf04dfe;8eb657fe6a
183fd3e0d83;1;cf063fe;c03960a27e
183fd3e0d83;1;cf064fe;5018a05eac
183fd3e0d83;1;cf065fe;e170e208aa
183fd3e0d83;1;cf066fe;e3f9e38bf8
183fd3e0d83;1;cf067fe;15dfeaf8afe
183fd3e0d83;1;cf068fe;a4c64212c2
183fd3e0d83;1;cf069fe;15cfc287914
183fd3e0d83;1;cf06afe;12ada222bee
183fd3e0d83;1;cf06bfe;112e4873a20
183fd3e0d84;1;cf06cfe;a72f683970
183fd3e0d84;1;cf06dfe;8094927ecc
183fd3e0d84;1;cf06efe;f009d2e234
183fd3e0d84;1;cf090fe;16bb7b9b5ae
183fd3e0d84;1;cf091fe;ba58b7abb2
183fd3e0d84;1;cf092fe;98830b801c
183fd3e0d84;1;cf093fe;84e00a5f68
183fd3e0d84;1;cf094fe;e13f370414
183fd3e0d84;1;cf095fe;b300c1866a
183fd3e0d84;1;cf096fe;151ee523b28
183fd3e0d84;1;cf0a0fe;b334a63452
183fd3e0d85;1;cf0c8fe;10186aeb168
183fd3e0d85;1;cf0c9fe;16ac7ac3856
183fd3e0d85;1;cf0cbfe;11df23dc962
183fd3e0d85;1;cf0ccfe;11b6eedbcd0
183fd3e0d85;1;cf0d0fe;173eb34759c
183fd3e0d85;1;cf0d1fe;a09c8ebe62
183fd3e0d85;1;cf0d2fe;145321fa1d4
183fd3e0d85;1;cf0d3fe;15ab3d4b840
183fd3e0d85;1;cf0e5fe;576384d53a
183fd3e0d86;1;cf0e6fe;ec551cf270
183fd3e0d86;1;cf0e7fe;d82f6f6230
183fd3e0d86;1;cf0e8fe;192c378c1f0
183fd3e0d86;1;cf0f9fe;fe98e16510
183fd3e0d86;1;cf0fafe;14c8447228c
183fd3e0d86;1;cf0fbfe;bea185bf1a
183fd3e0d86;1;cf0fcfe;1256d26e704
183fd3e0d86;1;cf0fdfe;138039d814c
183fd3e0d86;1;cf0fefe;188779e8592
183fd3e0d86;1;cf103fe;107da3cea92
183fd3e0d86;1;cf105fe;42761f116a
183fd3e0d86;1;cf108fe;b1e0efdf38
183fd3e0d87;1;cf109fe;165a0654cee
183fd3e0d87;1;cf10afe;c25966669c
183fd3e0d87;1;cf10bfe;9885f9e086
183fd3e0d87;1;cf10cfe;b93a7ad69c
183fd3e0d87;1;cf10ffe;893f28acf2
183fd3e0d87;1;cf112fe;105af0d66d8
183fd3e0d87;1;cf113fe;12fdefd221e
183fd3e0d87;1;cf114fe;73011354f2
183fd3e0d87;1;cf115fe;f0b9b6ffb4
183fd3e0d87;1;cf117fe;757ea8ad96
183fd3e0d88;1;cf118fe;13264a6bd5c
183fd3e0d88;1;cf119fe;13c11f5dd8e
183fd3e0d88;1;cf11afe;d602670b60
183fd3e0d88;1;cf11bfe;13bb1ad6f2e
183fd3e0d88;1;cf11cfe;1917f63b35c
183fd3e0d88;1;cf11dfe;151d8037488
183fd3e0d88;1;cf11efe;cdf0929e1e
183fd3e0d88;1;cf11ffe;1378a80fa66
183fd3e0d88;1;cf120fe;178a9ad67dc
183fd3e0d88;1;cf121fe;9aa0296a10
183fd3e0d88;1;cf122fe;817a9ee5a8
183fd3e0d89;1;cf123fe;7ea02441de
183fd3e0d89;1;cf124fe;13a5fd51314
183fd3e0d89;1;cf125fe;c14e692c2e
183fd3e0d89;1;cf126fe;18913860832
183fd3e0d89;1;cf127fe;1596bd00622
183fd3e0d89;1;cf128fe;11cdd45a6b6
183fd3e0d89;1;cf129fe;d0850cd318
183fd3e0d89;1;cf12bfe;153705695ec
183fd3e0d89;1;cf12cfe;176ac734d52
183fd3e0d89;1;cf130fe;13c6a279fd2
183fd3e0d8a;1;cf131fe;1129e22dd0e
183fd3e0d8a;1;cfb90fe;e914914e74
183fd3e0d8a;1;cfb91fe;15749a3d56e
183fd3e0d8a;1;cfb92fe;905eac6332
183fd3e0d8a;1;cfb93fe;1219e8dc026
183fd3e0d8a;1;cfb9afe;1401b1ba93a
183fd3e0d8a;1;cfb9bfe;184a76056de
183fd3e0d8a;1;cfb9ffe;17818b4e48a
183fd3e0d8a;1;cfba0fe;9d16138e4e
183fd3e0d8a;1;cfba4fe;18604890960
183fd3e0d8a;1;cfba5fe;a7def32120
183fd3e0d8b;1;cfba9fe;a5e32202a4
183fd3e0d8b;1;cfbaafe;7fc59b1660
183fd3e0d8b;1;cfbaefe;14f7ca2db32
